business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Nrityaanjali Dance Academy,Music and Dance Academy,Dance school,"Dance school, Art school",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 96478 51744,N/A,5.0,,"Tadong, Gangtok, Sikkim 737102",Tadong,27.312370299999998,88.58990399999999,ChIJrazOEQul5jkREnLLRlkvpEY,https://www.google.com/maps/place/?q=place_id:ChIJrazOEQul5jkREnLLRlkvpEY,part_331,2026-09-20 20:17:58,3543
MIM DANCE ACADEMY,Music and Dance Academy,Dance school,Dance school,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 89182 12479,http://www.mimdanceacademy.com/,5.0,,"Mahatma Gandhi Marg, near Sass & Guff Restaurant, Vishal Gaon, Gangtok, Sikkim 737101",Vishal Gaon,27.326289199999998,88.61184569999999,ChIJzdEXb6Wl5jkRr0CtoilGBYo,https://www.google.com/maps/place/?q=place_id:ChIJzdEXb6Wl5jkRr0CtoilGBYo,part_331,2026-09-20 20:17:58,3544
Elite Dance Studio,Music and Dance Academy,Dance school,Dance school,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 79085 65010,N/A,5.0,,"6th Mile, near Holy Cross School, Tadong, Gangtok, Sikkim 737102",Tadong,27.311889599999997,88.59072429999999,ChIJ74pkCzyl5jkRNFpRALG3-qU,https://www.google.com/maps/place/?q=place_id:ChIJ74pkCzyl5jkRNFpRALG3-qU,part_331,2026-09-20 20:17:58,3545
Remanti Sangeet Academy,Music and Dance Academy,Music school,Music school,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 83481 82484,http://www.remantiacademy.com/,4.9,,"Tadong, Top Floor Renault Showroom, Tadong, Gangtok, Sikkim 737102",Tadong,27.3094686,88.5966047,ChIJkcglMg6l5jkRw69UxkACXdE,https://www.google.com/maps/place/?q=place_id:ChIJkcglMg6l5jkRw69UxkACXdE,part_331,2026-09-20 20:17:58,3546
Dancer's Dynasty,Music and Dance Academy,Dance school,"Dance school, Dance company, Hip Hop Dance Class",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,https://www.youtube.com/c/DestructionMonsterZSIKKIM,4.8,,"Regal, beside Hotel, Tadong, Gangtok, Sikkim 737102",Tadong,27.3105674,88.5975021,ChIJY0k_BgGl5jkROJcRoXt1EvY,https://www.google.com/maps/place/?q=place_id:ChIJY0k_BgGl5jkROJcRoXt1EvY,part_331,2026-09-20 20:17:58,3547
Legion Of Love Dance Studio,Music and Dance Academy,Dance school,"Dance school, Physical fitness program",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 98327 39542,N/A,5.0,,"Building, Basement, Mad Over Fitness Gym, Sisa Golai, Gangtok, Sikkim 737101","Sisa Golai, Vishal Gaon",27.327106099999998,88.609624,ChIJC4hjOKml5jkRyfBbvmvsZEY,https://www.google.com/maps/place/?q=place_id:ChIJC4hjOKml5jkRyfBbvmvsZEY,part_331,2026-09-20 20:17:58,3548
"OMTRD Dance Studio, Namchi",Music and Dance Academy,Dance company,Dance company,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 97114 33380,N/A,4.9,,"Mandir dara, New secondary road, Namchi, Sikkim 737126",737133,27.166999099999998,88.3623516,ChIJWR3iMBmd5jkRvifZK860BC8,https://www.google.com/maps/place/?q=place_id:ChIJWR3iMBmd5jkRvifZK860BC8,part_331,2026-09-20 20:17:58,3549
My Dance Institute Rangpo (E-SIKKIM ),Music and Dance Academy,Dance school,Dance school,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,http://www.youtube.com/c/SanjukOfficial,5.0,,"5GFH+XXP, Gangtok - Rangpo Rd, Upper Bazaar, Gangtok, Rangpo, Sikkim 737132",Upper Bazaar,27.1749668,88.529961,ChIJ16v0VZqg5jkRKv5OgMJSP8M,https://www.google.com/maps/place/?q=place_id:ChIJ16v0VZqg5jkRKv5OgMJSP8M,part_331,2026-09-20 20:17:58,3550
Gagan Dance and Zumba Studio,Music and Dance Academy,Dance school,Dance school,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 79086 13702,N/A,5.0,,"NH-31A, Deorali Bazar, Gangtok, Sikkim 737102",Deorali Bazar,27.3183145,88.60776539999999,ChIJvfYFMEGl5jkRV5l59b7EhmE,https://www.google.com/maps/place/?q=place_id:ChIJvfYFMEGl5jkRV5l59b7EhmE,part_331,2026-09-20 20:17:58,3551
Pakyong Music Institute,Music and Dance Academy,Music school,Music school,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 96091 58704,N/A,5.0,,"New Market Area, Pakyong, Sikkim 737106",737133,27.2435036,88.5985353,ChIJD-xwm3Kn5jkRTdEWwoPuGF4,https://www.google.com/maps/place/?q=place_id:ChIJD-xwm3Kn5jkRTdEWwoPuGF4,part_331,2026-09-20 20:17:58,3552
